individual,Dnov1a,Dnov1b,Dnov6a,Dnov6b,Dnov7a,Dnov7b,Dnov24a,Dnov24b,Dnov51a,Dnov51b,Age class
1,228,240,134,142,217,217,261,265,213,213,Adult
2,224,228,142,142,215,217,261,261,0,0,Adult
3,228,240,134,142,215,217,253,265,209,213,Adult
4,228,240,134,142,217,217,261,265,213,217,Adult
6,228,240,134,142,215,217,261,265,213,213,Adult
8,228,236,134,142,211,217,253,265,213,213,Adult
9,228,240,142,142,215,217,253,253,213,213,Adult
11,220,236,154,154,211,217,253,265,213,213,Adult
13,228,240,142,146,211,215,265,269,213,213,Adult
14,224,228,134,142,211,215,261,261,209,213,Adult
15,224,228,134,142,213,217,253,261,209,213,Adult
16,240,240,142,142,215,217,265,269,213,213,Adult
17,236,240,134,142,215,215,253,253,213,213,Adult
18,228,240,142,146,215,217,253,265,213,213,Adult
19,228,240,134,134,215,215,253,261,0,0,Adult
20,220,228,142,154,215,217,253,261,213,213,Adult
22,220,236,142,154,211,215,253,261,213,213,Adult
23,220,224,134,142,215,217,253,261,213,213,Adult
24,240,240,134,134,217,217,253,261,213,213,Adult
25,228,228,142,142,215,217,253,265,213,213,Adult
26,228,228,142,142,215,217,253,261,213,213,Adult
27,220,228,134,154,215,217,261,265,213,213,Adult
28,228,240,134,146,217,217,253,265,213,213,Adult
29,228,240,142,142,215,217,261,261,209,213,Yearling
30,228,240,134,146,217,217,253,261,213,213,Adult
31,224,228,142,142,217,217,253,261,213,213,Adult
32,240,240,142,142,0,0,265,269,213,213,Adult
33,240,240,134,142,217,217,265,269,213,213,Adult
34,228,240,142,142,215,217,261,261,213,213,Adult
35,224,236,146,154,215,215,253,261,213,213,Adult
36,224,228,142,146,215,217,261,261,0,0,Adult
37,240,240,142,142,217,217,261,261,213,213,Adult
38,228,228,134,134,217,217,253,253,213,213,Adult
39,224,224,142,142,211,217,261,261,209,213,Adult
40,228,240,142,142,215,217,253,265,213,213,Adult
41,224,228,134,142,211,215,253,261,209,213,Adult
42,228,228,134,142,215,215,265,265,209,213,Adult
43,240,240,138,154,211,215,261,265,213,213,Adult
44,224,228,142,142,217,217,261,261,209,213,Adult
46,228,228,134,142,217,217,253,261,213,213,Adult
47,228,240,134,134,217,217,253,269,213,213,Adult
48,228,240,142,142,215,217,261,261,213,213,Adult
49,220,228,142,154,215,217,253,261,213,213,Adult
50,224,228,142,142,217,217,261,265,209,213,Adult
51,228,240,142,142,215,217,261,265,213,213,Adult
52,224,240,138,142,217,217,253,253,213,213,Adult
53,228,236,142,146,217,217,261,265,209,213,Adult
54,228,240,142,142,211,217,265,265,213,213,Adult
55,240,240,142,142,211,217,253,265,213,213,Adult
56,228,240,142,142,217,217,253,261,0,0,Adult
57,228,240,134,142,217,217,253,261,213,213,Adult
58,224,228,138,142,211,217,253,265,213,213,Adult
59,240,240,134,134,211,217,253,253,213,213,Adult
61,224,228,134,138,211,215,253,261,213,213,Adult
62,228,228,142,142,217,217,253,261,213,213,Adult
63,228,240,138,142,215,217,253,261,209,213,Adult
64,228,228,134,142,215,217,261,261,209,213,Adult
65,228,240,142,142,215,217,261,261,209,213,Adult
66,228,240,134,134,215,217,261,265,213,213,Adult
67,240,240,142,142,217,217,261,265,213,213,Adult
68,224,228,142,146,215,217,261,261,213,213,Adult
69,236,236,154,154,0,0,253,269,0,0,Adult
70,228,240,138,142,215,217,261,265,213,213,Adult
73,228,228,142,142,217,217,253,261,213,213,Yearling
76,240,240,134,154,211,215,253,253,213,213,Juvenile
77,220,224,134,134,211,217,261,265,213,213,?
79,224,236,142,154,211,215,261,265,213,213,Juvenile
80,224,236,142,154,211,215,261,265,213,213,?
81,228,240,134,142,211,215,265,265,213,213,?
82,236,240,134,138,211,215,253,253,213,213,?
83,224,236,134,142,215,217,261,265,213,213,Adult
84,240,240,134,142,215,217,261,261,213,213,Adult
85,228,240,142,142,215,217,253,261,213,213,?
86,228,228,134,142,215,217,253,253,213,213,?
88,220,228,134,154,215,217,261,265,213,213,?
89,236,240,142,142,215,217,253,265,213,213,Adult
90,224,228,134,134,215,217,261,261,213,213,Adult
91,228,228,142,142,217,217,253,261,213,213,?
95,224,240,142,142,217,217,253,261,209,213,Adult
96,228,240,142,142,215,217,253,261,209,213,Yearling
97,224,228,142,142,215,217,261,265,213,213,Adult
98,220,228,134,154,215,217,261,265,213,213,Adult
99,224,228,134,154,217,217,261,261,213,213,Adult
100,228,240,134,142,217,217,261,265,213,213,Adult
101,224,240,142,142,215,217,253,265,213,213,Adult
102,224,224,142,142,217,217,253,261,209,213,Yearling
103,228,240,142,154,215,217,261,265,213,213,Adult
104,224,240,142,154,215,215,261,265,213,213,Adult
105,240,240,142,142,215,215,253,265,209,213,Adult
106,224,236,146,154,215,215,253,261,213,213,Adult
107,224,240,134,158,215,217,253,261,213,213,Yearling
108,224,236,146,154,215,215,253,261,213,213,Adult
109,224,240,142,142,215,215,261,265,213,213,Adult
110,224,240,142,146,215,217,261,265,209,213,Yearling
111,224,228,142,142,215,217,253,269,213,213,Adult
112,228,236,142,154,215,217,253,261,209,213,Adult
114,240,240,142,146,215,215,0,0,213,213,Adult
115,224,228,142,146,215,217,261,261,213,213,Adult
116,224,228,142,158,217,217,253,261,213,213,Adult
117,220,240,138,142,211,217,253,253,213,213,Adult
118,228,240,142,142,215,217,253,265,209,209,Adult
119,224,228,134,142,215,215,253,261,213,213,Adult
120,224,240,142,142,217,217,253,265,209,213,Adult
121,228,240,134,138,215,217,261,261,213,213,Adult
122,220,220,138,146,215,217,253,261,213,213,Adult
124,224,228,138,142,217,217,253,265,209,213,Adult
125,228,240,142,142,215,217,261,265,213,213,Adult
126,220,228,138,154,217,217,253,265,209,213,Adult
127,220,240,142,142,217,217,265,265,209,213,Adult
128,220,228,134,142,215,217,253,265,213,213,Adult
129,240,240,0,0,215,217,265,269,213,213,Adult
130,220,224,134,134,211,217,261,261,213,213,Adult
131,228,240,142,142,211,211,253,265,213,213,Adult
132,224,240,142,142,217,217,261,261,213,213,Adult
133,228,228,138,146,217,217,261,265,213,213,Adult
